Handle,Color,Size,Brand,Quantity
B429,VICTORIA LILAC,26,MILANO FORMALS,1
B429,VICTORIA LILAC,30,MILANO FORMALS,1
B429,VICTORIA LILAC,34,MILANO FORMALS,6
B429,VICTORIA LILAC,38,MILANO FORMALS,22
B429,VICTORIA LILAC,40,MILANO FORMALS,4
B429,WHITE,12,MILANO FORMALS,1
B429,WHITE,22,MILANO FORMALS,2
B429,WHITE,26,MILANO FORMALS,9
B429,WHITE,30,MILANO FORMALS,33
B429,WHITE,34,MILANO FORMALS,83
B429,WHITE,38,MILANO FORMALS,42
B429,WHITE,40,MILANO FORMALS,22
B8883,APPLE RED,8,MILANO FORMALS,8
B8883,APPLE RED,10,MILANO FORMALS,4
B8883,APPLE RED,30,MILANO FORMALS,1
B8883,APPLE RED,38,MILANO FORMALS,5
B8883,APPLE RED,40,MILANO FORMALS,16
B8883,BANANA,30,MILANO FORMALS,13
B8883,BANANA,34,MILANO FORMALS,24
B8883,BANANA,38,MILANO FORMALS,5
B8883,BANANA,40,MILANO FORMALS,10
B8883,BANANA (FLOWER),34,MILANO FORMALS,6
B8883,BLACK,2,MILANO FORMALS,1
B8883,BLACK,4,MILANO FORMALS,7
B8883,BLACK,8,MILANO FORMALS,14
B8883,BLACK,10,MILANO FORMALS,6
B8883,BLACK,12,MILANO FORMALS,2
B8883,BURGUNDY,8,MILANO FORMALS,22
B8883,BURGUNDY,22,MILANO FORMALS,1
B8883,BURGUNDY,24,MILANO FORMALS,2
B8883,BURGUNDY,26,MILANO FORMALS,3
B8883,BURGUNDY,38,MILANO FORMALS,9
B8883,BURGUNDY,40,MILANO FORMALS,3
B8883,CHAMPAGNE,40,MILANO FORMALS,3
B8883,CORAL,30,MILANO FORMALS,2
B8883,CORAL,34,MILANO FORMALS,9
B8883,CORAL,38,MILANO FORMALS,18
B8883,CORAL,40,MILANO FORMALS,20
B8883,FUCHSIA,4,MILANO FORMALS,8
B8883,FUCHSIA,8,MILANO FORMALS,2
B8883,FUCHSIA,34,MILANO FORMALS,2
B8883,FUCHSIA,38,MILANO FORMALS,9
B8883,FUCHSIA,40,MILANO FORMALS,8
B8883,GOLD,2,MILANO FORMALS,2
B8883,GOLD,12,MILANO FORMALS,3
B8883,GOLD,14,MILANO FORMALS,1
B8883,GOLD,22,MILANO FORMALS,2
B8883,GOLD,34,MILANO FORMALS,21
B8883,GOLD,38,MILANO FORMALS,6
B8883,GOLD,40,MILANO FORMALS,11
B8883,IVORY,2,MILANO FORMALS,4
